"","name","data","NC","props","valueType","aggregationType","model","command","path"
"150","simtestis_NC20_de10_counts_None_MMvst","simtestis","NC20","de10","counts","None","MMvst","apply_MM_vst(simtestis_NC20_de10_counts_None)","dataOutput/modelResults/simtestis_NC20_de10_counts_None_MMvst.rds"
"151","simtestis_NC20_de10_counts_None_MMdream2","simtestis","NC20","de10","counts","None","MMdream2","apply_MM_dream2(simtestis_NC20_de10_counts_None)","dataOutput/modelResults/simtestis_NC20_de10_counts_None_MMdream2.rds"
"152","simtestis_NC20_de10_cpm_Sum_edgeR","simtestis","NC20","de10","cpm","Sum","edgeR","apply_edgeR(simtestis_NC20_de10_cpm_Sum)","dataOutput/modelResults/simtestis_NC20_de10_cpm_Sum_edgeR.rds"
"153","simtestis_NC20_de10_logcounts_None_scDD","simtestis","NC20","de10","logcounts","None","scDD","apply_scdd(simtestis_NC20_de10_logcounts_None)","dataOutput/modelResults/simtestis_NC20_de10_logcounts_None_scDD.rds"
"154","simtestis_NC400_de10_logcounts_Mean_limmaTrend","simtestis","NC400","de10","logcounts","Mean","limmaTrend","apply_limma_trend(simtestis_NC400_de10_logcounts_Mean)","dataOutput/modelResults/simtestis_NC400_de10_logcounts_Mean_limmaTrend.rds"
"155","simtestis_NC400_de10_counts_None_MMdream2","simtestis","NC400","de10","counts","None","MMdream2","apply_MM_dream2(simtestis_NC400_de10_counts_None)","dataOutput/modelResults/simtestis_NC400_de10_counts_None_MMdream2.rds"
"156","simtestis_NC400_de10_counts_None_MMvst","simtestis","NC400","de10","counts","None","MMvst","apply_MM_vst(simtestis_NC400_de10_counts_None)","dataOutput/modelResults/simtestis_NC400_de10_counts_None_MMvst.rds"
"157","simtestis_NC400_de10_counts_Sum_limmaVoom","simtestis","NC400","de10","counts","Sum","limmaVoom","apply_limma_voom(simtestis_NC400_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_de10_counts_Sum_limmaVoom.rds"
"158","simtestis_NC400_de10_counts_Sum_DESeq2","simtestis","NC400","de10","counts","Sum","DESeq2","apply_DESeq2(simtestis_NC400_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_de10_counts_Sum_DESeq2.rds"
"159","simtestis_NC400_de10_counts_Sum_edgeR","simtestis","NC400","de10","counts","Sum","edgeR","apply_edgeR(simtestis_NC400_de10_counts_Sum)","dataOutput/modelResults/simtestis_NC400_de10_counts_Sum_edgeR.rds"
"160","simtestis_NC400_de10_vstresiduals_Mean_limmaTrend","simtestis","NC400","de10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simtestis_NC400_de10_vstresiduals_Mean)","dataOutput/modelResults/simtestis_NC400_de10_vstresiduals_Mean_limmaTrend.rds"
"161","simtestis_NC400_de10_logcounts_None_scDD","simtestis","NC400","de10","logcounts","None","scDD","apply_scdd(simtestis_NC400_de10_logcounts_None)","dataOutput/modelResults/simtestis_NC400_de10_logcounts_None_scDD.rds"
"162","simtestis_NC400_de10_cpm_Sum_edgeR","simtestis","NC400","de10","cpm","Sum","edgeR","apply_edgeR(simtestis_NC400_de10_cpm_Sum)","dataOutput/modelResults/simtestis_NC400_de10_cpm_Sum_edgeR.rds"
