"","name","data","NC","props","valueType","aggregationType","model","command","path"
"70","simLPS_NC100_de10_counts_None_MMdream2","simLPS","NC100","de10","counts","None","MMdream2","apply_MM_dream2(simLPS_NC100_de10_counts_None)","dataOutput/modelResults/simLPS_NC100_de10_counts_None_MMdream2.rds"
"71","simLPS_NC100_de10_logcounts_Mean_limmaTrend","simLPS","NC100","de10","logcounts","Mean","limmaTrend","apply_limma_trend(simLPS_NC100_de10_logcounts_Mean)","dataOutput/modelResults/simLPS_NC100_de10_logcounts_Mean_limmaTrend.rds"
"72","simLPS_NC100_de10_logcounts_None_scDD","simLPS","NC100","de10","logcounts","None","scDD","apply_scdd(simLPS_NC100_de10_logcounts_None)","dataOutput/modelResults/simLPS_NC100_de10_logcounts_None_scDD.rds"
"73","simLPS_NC400_dm10_counts_None_MMdream2","simLPS","NC400","dm10","counts","None","MMdream2","apply_MM_dream2(simLPS_NC400_dm10_counts_None)","dataOutput/modelResults/simLPS_NC400_dm10_counts_None_MMdream2.rds"
"74","simLPS_NC400_dm10_counts_None_MMvst","simLPS","NC400","dm10","counts","None","MMvst","apply_MM_vst(simLPS_NC400_dm10_counts_None)","dataOutput/modelResults/simLPS_NC400_dm10_counts_None_MMvst.rds"
"75","simLPS_NC400_dm10_cpm_Sum_edgeR","simLPS","NC400","dm10","cpm","Sum","edgeR","apply_edgeR(simLPS_NC400_dm10_cpm_Sum)","dataOutput/modelResults/simLPS_NC400_dm10_cpm_Sum_edgeR.rds"
"76","simLPS_NC400_dm10_logcounts_None_scDD","simLPS","NC400","dm10","logcounts","None","scDD","apply_scdd(simLPS_NC400_dm10_logcounts_None)","dataOutput/modelResults/simLPS_NC400_dm10_logcounts_None_scDD.rds"
"77","simLPS_NC400_dm10_vstresiduals_Mean_limmaTrend","simLPS","NC400","dm10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simLPS_NC400_dm10_vstresiduals_Mean)","dataOutput/modelResults/simLPS_NC400_dm10_vstresiduals_Mean_limmaTrend.rds"
"78","simLPS_NC400_dm10_counts_Sum_limmaVoom","simLPS","NC400","dm10","counts","Sum","limmaVoom","apply_limma_voom(simLPS_NC400_dm10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_dm10_counts_Sum_limmaVoom.rds"
"79","simLPS_NC400_dm10_counts_Sum_DESeq2","simLPS","NC400","dm10","counts","Sum","DESeq2","apply_DESeq2(simLPS_NC400_dm10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_dm10_counts_Sum_DESeq2.rds"
"80","simLPS_NC400_dm10_counts_Sum_edgeR","simLPS","NC400","dm10","counts","Sum","edgeR","apply_edgeR(simLPS_NC400_dm10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_dm10_counts_Sum_edgeR.rds"
"81","simLPS_NC400_dm10_logcounts_Mean_limmaTrend","simLPS","NC400","dm10","logcounts","Mean","limmaTrend","apply_limma_trend(simLPS_NC400_dm10_logcounts_Mean)","dataOutput/modelResults/simLPS_NC400_dm10_logcounts_Mean_limmaTrend.rds"
"82","simLPS_NC400_db10_counts_None_MMdream2","simLPS","NC400","db10","counts","None","MMdream2","apply_MM_dream2(simLPS_NC400_db10_counts_None)","dataOutput/modelResults/simLPS_NC400_db10_counts_None_MMdream2.rds"
"83","simLPS_NC400_db10_counts_None_MMvst","simLPS","NC400","db10","counts","None","MMvst","apply_MM_vst(simLPS_NC400_db10_counts_None)","dataOutput/modelResults/simLPS_NC400_db10_counts_None_MMvst.rds"
"84","simLPS_NC400_db10_cpm_Sum_edgeR","simLPS","NC400","db10","cpm","Sum","edgeR","apply_edgeR(simLPS_NC400_db10_cpm_Sum)","dataOutput/modelResults/simLPS_NC400_db10_cpm_Sum_edgeR.rds"
"85","simLPS_NC400_db10_logcounts_None_scDD","simLPS","NC400","db10","logcounts","None","scDD","apply_scdd(simLPS_NC400_db10_logcounts_None)","dataOutput/modelResults/simLPS_NC400_db10_logcounts_None_scDD.rds"
"86","simLPS_NC400_db10_logcounts_Mean_limmaTrend","simLPS","NC400","db10","logcounts","Mean","limmaTrend","apply_limma_trend(simLPS_NC400_db10_logcounts_Mean)","dataOutput/modelResults/simLPS_NC400_db10_logcounts_Mean_limmaTrend.rds"
"87","simLPS_NC400_db10_counts_Sum_edgeR","simLPS","NC400","db10","counts","Sum","edgeR","apply_edgeR(simLPS_NC400_db10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_db10_counts_Sum_edgeR.rds"
"88","simLPS_NC400_db10_counts_Sum_limmaVoom","simLPS","NC400","db10","counts","Sum","limmaVoom","apply_limma_voom(simLPS_NC400_db10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_db10_counts_Sum_limmaVoom.rds"
"89","simLPS_NC400_db10_counts_Sum_DESeq2","simLPS","NC400","db10","counts","Sum","DESeq2","apply_DESeq2(simLPS_NC400_db10_counts_Sum)","dataOutput/modelResults/simLPS_NC400_db10_counts_Sum_DESeq2.rds"
"90","simLPS_NC400_db10_vstresiduals_Mean_limmaTrend","simLPS","NC400","db10","vstresiduals","Mean","limmaTrend","apply_limma_trend(simLPS_NC400_db10_vstresiduals_Mean)","dataOutput/modelResults/simLPS_NC400_db10_vstresiduals_Mean_limmaTrend.rds"
"91","simLPS_NC20_de10_counts_Sum_DESeq2","simLPS","NC20","de10","counts","Sum","DESeq2","apply_DESeq2(simLPS_NC20_de10_counts_Sum)","dataOutput/modelResults/simLPS_NC20_de10_counts_Sum_DESeq2.rds"
"92","simLPS_NC20_de10_counts_Sum_limmaVoom","simLPS","NC20","de10","counts","Sum","limmaVoom","apply_limma_voom(simLPS_NC20_de10_counts_Sum)","dataOutput/modelResults/simLPS_NC20_de10_counts_Sum_limmaVoom.rds"
